A,Assigned to,Article,Article No.,Item Group,Base Unit,Store Unit,Loss,Last Purchase Price,Sales Price,Ignore in Inventory,Article Code,Weight Factor,Barcode,Producer,Country of Origin,Article Folder/URL 1,Picture,Article Folder/URL 2,Visibility,Changed by,At
,Expenses,flat grill ( Hot ),5093,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,13/12/2017
,Expenses,flat skewer 60cmx1.5cmx3mm ( BBQ ),5076,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,13/12/2017
,Expenses,flat skewer 60cmx1cmx2mm ( BBQ ),5077,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,13/12/2017
,Expenses,Flexible Straws Wrapped ,120023,Packaging,Each,Each,,0.002,0,0,,1,,,,,,,0,Shkakhwa,01/05/2016
,Expenses,Floral Garden (Wall Display),6104,Dining Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,20/12/2017
,Expenses,flour strainer (Dishwasher),5233,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,14/12/2017
,Expenses,Flower Pot Blue (Wall Display),6102,Dining Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,20/12/2017
,Expenses,Flower Pot Green (Wall Display),6101,Dining Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,20/12/2017
,Expenses,Flower Pot Set of 2 (Wall Display),6100,Dining Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,20/12/2017
,Expenses,Flower Pot White (Wall Display),6099,Dining Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,20/12/2017
,Expenses,Flower Pot white Big (Wall Display),6103,Dining Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,20/12/2017
,Expenses,Flower Pots long (Outside Area),6014,Dining Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,20/12/2017
,Expenses,Flower Pots small (Outside Area),6013,Dining Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,20/12/2017
,Expenses,Flower Vase (Bar Area),6140,Dining Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,20/12/2017
