article_type,name,over_group_id,major_group_id,item_group_id,base_unit,store_unit,purchase_price
Expenses,1/3 plastic container 100mm,Assets,Kitchen Assets,Kitchen Assets,Each,Each,0
Expenses,1/3 plastic container 100mm ( Cold ),Assets,Kitchen Assets,Kitchen Assets,Each,Each,0
Expenses,1/3 plastic container 100mm ( Hot ),Assets,Kitchen Assets,Kitchen Assets,Each,Each,0
Expenses,1/3 stainless steel container 100mm ( Cold ),Assets,Kitchen Assets,Kitchen Assets,Each,Each,0
Expenses,1/3 stainless steel container 100mm ( Hot ),Assets,Kitchen Assets,Kitchen Assets,Each,Each,0
Expenses,1/3 stainless steel container 150mm ( Cold ),Assets,Kitchen Assets,Kitchen Assets,Each,Each,0
Expenses,1/3 stainless steel container 150mm ( Hot ),Assets,Kitchen Assets,Kitchen Assets,Each,Each,0
Expenses,1/4 plastic container 100mm ( Hot ),Assets,Kitchen Assets,Kitchen Assets,Each,Each,0
Expenses,1/4 plastic container 65mm ( Prep ),Assets,Kitchen Assets,Kitchen Assets,Each,Each,0
Expenses,1/6 plastic container 100mm ( Hot ),Assets,Kitchen Assets,Kitchen Assets,Each,Each,0
Expenses,1/6 plastic container 65mm ( Cold ),Assets,Kitchen Assets,Kitchen Assets,Each,Each,0
Expenses,1/6 plastic container 65mm ( Perp ),Assets,Kitchen Assets,Kitchen Assets,Each,Each,0
Expenses,1/6 stainless steel container 100mm ( Prep ),Assets,Kitchen Assets,Kitchen Assets,Each,Each,0
Expenses,1/6 stainless steel container 150mm ( Cold ),Assets,Kitchen Assets,Kitchen Assets,Each,Each,0
Expenses,1/6 stainless steel container 150mm ( Hot ),Assets,Kitchen Assets,Kitchen Assets,Each,Each,0
Expenses,1/6 stainless steel container 65mm ( Cold ),Assets,Kitchen Assets,Kitchen Assets,Each,Each,0
Expenses,1/9 plastic container 100mm ( Cold ),Assets,Kitchen Assets,Kitchen Assets,Each,Each,0
Expenses,1/9 plastic container 100mm ( Hot ),Assets,Kitchen Assets,Kitchen Assets,Each,Each,0
Expenses,1/9 stainless steel container 100mm ( Cold ),Assets,Kitchen Assets,Kitchen Assets,Each,Each,0
Expenses,1/9 stainless steel container 100mm ( Prep ),Assets,Kitchen Assets,Kitchen Assets,Each,Each,0
Expenses,12905-25 spatula plastic (Dishwasher),Assets,Kitchen Assets,Kitchen Assets,Each,Each,0
Expenses,12908-30 spatula plastic (Dishwasher),Assets,Kitchen Assets,Kitchen Assets,Each,Each,0
Expenses,12915-45 spatula plastic (Dishwasher),Assets,Kitchen Assets,Kitchen Assets,Each,Each,0
Expenses,12927-45 frusta balloon whisk (Dishwasher),Assets,Kitchen Assets,Kitchen Assets,Each,Each,0
Expenses,18509-03 pauetta forata 15.6x8.7 (Dishwasher),Assets,Kitchen Assets,Kitchen Assets,Each,Each,0
Expenses,18511-15 spatula pajnncuo pizza (Dishwasher),Assets,Kitchen Assets,Kitchen Assets,Each,Each,0
Expenses,18518-30 spatula cuoco scalino  (Dishwasher),Assets,Kitchen Assets,Kitchen Assets,Each,Each,0
Expenses,18519-15 spatula cuoco 15.5x3 (Dishwasher),Assets,Kitchen Assets,Kitchen Assets,Each,Each,0
Expenses,18519-35 spatola cuoco 36x5 (Dishwasher),Assets,Kitchen Assets,Kitchen Assets,Each,Each,0
Expenses,18520-09 spatula triangular 12x4 (Dishwasher),Assets,Kitchen Assets,Kitchen Assets,Each,Each,0
Expenses,2 Cup Holder With Handle,General,Packaging,Packaging,Each,Each,0.038
Profit Contribution,2 Cup Holder With Handle (Dont Use ),Food,Condiments,Baking Items,Each,Each,0.027
Expenses,2/1 stainless steel container 100mm ( Prep ),Assets,Kitchen Assets,Kitchen Assets,Each,Each,0
Expenses,3 Seater Couch  (Dining Area Up),Assets,Dining Assets,Dining Assets,Each,Each,0
Expenses,4 ways grater (Dishwasher),Assets,Kitchen Assets,Kitchen Assets,Each,Each,0
Expenses,4oz Paper Ice Cream Cup 20X50 pcs,General,Packaging,Packaging,Each,Each,0.022
Expenses,5 Seater Couch (Dining Area),Assets,Dining Assets,Dining Assets,Each,Each,0
Expenses,6 Channels Digital Timer,Assets,Kitchen Assets,Kitchen Assets,Each,Each,30.35
Expenses,6 Doors frizzer no 1 berja ( BBQ ) ,Assets,Kitchen Assets,Kitchen Assets,Each,Each,0
Expenses,A.F. CONT. 1025L- (8 X 125 PCS),General,Packaging,Packaging,Each,Each,0.016
Expenses,A.F. CONT. 1198L - (6 X 50 PCS ),General,Packaging,Packaging,Each,Each,0.107
Expenses,A4 Brother Printer ( old ),General,Others,Others,Each,Each,0
Expenses,A4 Paper,General,Others,Others,Each,Each,0.004
Profit Contribution,Abu Dhabi Flour NO.1 50 KG,Food,Condiments,Baking Items,Kilogram,Kilogram,0.082
Profit Contribution,Adonis All Spices Whole 1 kg ( sweet pepper ),Food,Condiments,Spices,Kilogram,Kilogram,5.882
Profit Contribution,Adonis Anise Ground 1 kg,Food,Condiments,Herbs,Kilogram,Kilogram,0
Profit Contribution,Adonis Basil 400 gm,Food,Condiments,Herbs,Kilogram,Kilogram,0
Profit Contribution,Adonis Bay Leaves 100 gm,Food,Condiments,Herbs,Kilogram,Kilogram,8
Profit Contribution,Adonis Black Pepper ground 1 kg,Food,Condiments,Spices,Kilogram,Kilogram,4.278
Profit Contribution,Adonis Black Pepper Whole 1 kg,Food,Condiments,Spices,Kilogram,Kilogram,2.381
Profit Contribution,Adonis Black Sesame (Nigella) 1.2 KG,Food,Condiments,Other Condiments,Kilogram,Kilogram,1.906
Profit Contribution,Adonis Caraway Ground 1 kg,Food,Condiments,Herbs,Kilogram,Kilogram,2.1
Profit Contribution,Adonis Carbonate 2.5 kg,Food,Condiments,Other Condiments,Kilogram,Kilogram,1.323
Profit Contribution,Adonis Cardamom 1 kg,Food,Condiments,Spices,Kilogram,Kilogram,14
Profit Contribution,Adonis Cinnamon ground 1 kg,Food,Condiments,Spices,Kilogram,Kilogram,2.667
Profit Contribution,Adonis Clove ground 1 kg,Food,Condiments,Spices,Kilogram,Kilogram,6.524
Profit Contribution,Adonis Clove WHOLE 700g,Food,Condiments,Spices,Kilogram,Kilogram,0
Profit Contribution,Adonis Coriander Ground 1 kg,Food,Condiments,Herbs,Kilogram,Kilogram,1.524
Profit Contribution,Adonis Coriander Seeds 700 gm,Food,Condiments,Herbs,Kilogram,Kilogram,1.591
Profit Contribution,Adonis Crushed Red Pepper 1 kg,Food,Condiments,Spices,Kilogram,Kilogram,4.5
Profit Contribution,Adonis Cumin Ground 1 kg,Food,Condiments,Spices,Kilogram,Kilogram,1.524
Profit Contribution,Adonis Cumin Seeds 800gm,Food,Condiments,Spices,Kilogram,Kilogram,1.429
Profit Contribution,Adonis Curry Powder Medium 1 kg,Food,Condiments,Spices,Kilogram,Kilogram,1.524
Profit Contribution,Adonis Fennel Ground 1 kg,Food,Condiments,Spices,Kilogram,Kilogram,0.65
Profit Contribution,Adonis Fennel Seeds 1 kg,Food,Condiments,Spices,Kilogram,Kilogram,0
Profit Contribution,Adonis Galangal Ground 1 kg,Food,Condiments,Spices,Kilogram,Kilogram,0
Profit Contribution,Adonis Garlic Powder 1.25 kg,Food,Condiments,Spices,Kilogram,Kilogram,0
Profit Contribution,Adonis Ginger Ground 1 kg,Food,Condiments,Spices,Kilogram,Kilogram,3.238
Profit Contribution,Adonis Kishik Baladi 1.5 KG,Food,Condiments,Herbs,Kilogram,Kilogram,2.333
Profit Contribution,Adonis Mahlab Ground 1 kg,Food,Condiments,Spices,Kilogram,Kilogram,29.841
Profit Contribution,Adonis Mahlab Whole 1 kg,Food,Condiments,Other Condiments,Kilogram,Kilogram,18.199
Profit Contribution,Adonis Nutmeg Ground 1 kg,Food,Condiments,Spices,Kilogram,Kilogram,13.6
Profit Contribution,Adonis Onion (Powder) 1.250 kg,Food,Condiments,Spices,Kilogram,Kilogram,0
Profit Contribution,Adonis Oregano 500 gm,Food,Condiments,Herbs,Kilogram,Kilogram,3.6
Profit Contribution,Adonis Paprika 1 kg,Food,Condiments,Spices,Kilogram,Kilogram,2.9
Profit Contribution,Adonis Red Pepper Powder 1 kg,Food,Condiments,Spices,Kilogram,Kilogram,2
Profit Contribution,ADONIS SESAME ROASTED 1.25 KG,Food,Condiments,Other Condiments,Kilogram,Kilogram,3.04
